timestamp,text
11/14/2020 10:52,@TokopediaCare Tadi saya sudah cek out barang sejumlah 165.590 saldo ovo sudah tertarik tapi barang tidak terproses… https://t.co/GoA9SvpOdM
11/14/2020 10:51,@TokopediaCare cek dm kak
11/14/2020 10:47,@tokopedia @TokopediaCare @tokopedia ngapain di antar ulang penerimanya aja fake orangnya ga dikenall aliass ga ada… https://t.co/v4BKgbbFli
11/14/2020 10:47,@TokopediaCare @TokopediaCare @tokopedia ngapain di antar ulang penerimanya aja fake orangnya ga dikenall aliass ga… https://t.co/CDUdY1DrrW
11/14/2020 10:47,"RT @TokopediaCare: Mimin punya info nih, Toppers! 🎙️

Sekarang, kamu gak cuma bisa bayar tagihan listrik atau token listrik doang, tapi kam…"
11/14/2020 10:45,@TokopediaCare @TokopediaCare @tokopedia ngapain di antar ulang penerimanya aja fake orangnya ga dikenall aliass ga… https://t.co/x11iYFs03a
11/14/2020 10:45,@TokopediaCare @TokopediaCare @tokopedia ngapain di antar ulang penerimanya aja fake orangnya ga dikenall aliass ga… https://t.co/ywhD98jcej
11/14/2020 10:44,"RT @TokopediaCare: Mimin punya info nih, Toppers! 🎙️

Sekarang, kamu gak cuma bisa bayar tagihan listrik atau token listrik doang, tapi kam…"
11/14/2020 10:44,@TokopediaCare @Tokopedia banyak pembeli nakal ni contohnya INV/20201110/XX/XI/671595905 disini namun toped ga bran… https://t.co/ZX4eioNfrc
11/14/2020 10:41,@TokopediaCare Rugi jualan di @tokopedia   transaksi INV/20201110/XX/XI/671595905 disini pembeli status pengiriman… https://t.co/uN8Sfn5a4w
11/14/2020 10:34,@TokopediaCare Jualan di @tokopedia Jadi mainan pembeli iseng contoh aja transaksi saya amburadul dan tak ada tinda… https://t.co/GCa4YCPGjW
11/14/2020 10:25,@TokopediaCare tolong cek dm min
11/14/2020 10:21,@TokopediaCare min barusan saya beli paket data saldo udah kepotong tapi status masih menunggu pembayaran tolong di… https://t.co/8aRX0nsChp
11/14/2020 10:19,@TokopediaCare kenapa begini yak🤔 https://t.co/JIINEFM8le
11/14/2020 10:11,@TokopediaCare bca udah approve kokkkk tokped nunda belanjaan orang wkwkwkkkwkww kwk mana lah ini uangku kemana :(
11/14/2020 10:10,@TokopediaCare transaksiikuuu gimana nihhhh tokopediaa
11/14/2020 10:09,@BNICustomerCare Min kartu kredit saya ada tagihan di @TokopediaCare pdhl sya tdk prnh menggunakan kartu kredit tsb… https://t.co/19d9UvrGSi
11/14/2020 9:54,@TokopediaCare @tokopedia Rugi jualan di @tokopedia   transaksi INV/20201110/XX/XI/671595905 disini pembeli status… https://t.co/OYRjM994Uv
11/14/2020 9:54,@TokopediaCare Rugi jualan di @tokopedia   transaksi INV/20201110/XX/XI/671595905 disini pembeli status pengiriman… https://t.co/aP7bM3xeVp
11/14/2020 9:46,@TokopediaCare Tokopedia saya sebagai Pihak SEller kecewa dengan tokopedia silahkan lihat transaksi INV/20201110/XX… https://t.co/99alDZrBMK
11/14/2020 9:46,@TokopediaCare @tokopedia Tokopedia saya sebagai Pihak SEller kecewa dengan tokopedia silahkan lihat transaksi INV/… https://t.co/WAaihcosJA
11/14/2020 9:46,@TokopediaCare Bukalapak jauh lebih bagus saya sebagai Pihak SEller kecewa dengan tokopedia silahkan lihat transaks… https://t.co/P0i3WzXptH
11/14/2020 9:45,@TokopediaCare Tokopedia saya sebagai Pihak SEller kecewa dengan tokopedia silahkan lihat transaksi INV/20201110/XX… https://t.co/M8z6zSuEXa
11/14/2020 9:42,@TokopediaCare balesnya lamaaaa haloooo email dll percumaaaa hahahahahhaha
11/14/2020 9:38,@TokopediaCare Cek dm balik min :)
11/14/2020 9:38,@TokopediaCare tolong cek DM
11/14/2020 9:30,@TokopediaCare INV/20201113/XX/XI/675009244 tolong dicancel dong min. Gk ada kejelasan dr seller. Saya butuh barang… https://t.co/0MEVVaPVNn
11/14/2020 9:24,"@TokopediaCare Sudah masuk, terima kasih bantuannya"
11/14/2020 9:22,"@TokopediaCare Oh gitu, makasih ya"
11/14/2020 9:03,"@TokopediaCare Misi, mau nanya kenapa di ulasan ada nama yg disamarin ya? https://t.co/IygZnBHVNR"
11/14/2020 9:02,RT @TokopediaCare: Chillin'bareng dooong @tokopedia. Jangan lupa minum air yang cukup ya! 🥤 https://t.co/v9dHdNyTRg
11/14/2020 8:59,@TokopediaCare @tokopedia bias mimin siapa min??
11/14/2020 8:59,RT @TokopediaCare: Chillin'bareng dooong @tokopedia. Jangan lupa minum air yang cukup ya! 🥤 https://t.co/v9dHdNyTRg
11/14/2020 8:54,Halo @TokopediaCare tlg cek DM dari saya. Thx
11/14/2020 8:53,@TokopediaCare Cek lagi dm saya..
11/14/2020 8:45,"@TokopediaCare Min knp invoice ini dibatalin pdhl baru pertama kali bikin akun tokped INV/20201114/XX/XI/675325018,… https://t.co/3uS9HCnQu1"
11/14/2020 8:36,"@AdamMal97443388 Ditempat gw berat max 1 kg itu 1,2 kg.. jangan tebar kebohongan lah bos... Liat invoice nya mungki… https://t.co/TgyvLzmMwf"
11/14/2020 8:25,@TokopediaCare cek DM dong..Skrg pelayan via twitter nya slow respon nih..
11/14/2020 8:19,"@TokopediaCare tolong Tokopedia bagaimana ini penjelasannya:
1. saya tidak bisa lakukan Verifikasi data diri padaha… https://t.co/lmUqtmZxLu"
11/14/2020 8:17,@TokopediaCare Ga masuk min https://t.co/WCfpnZfF5k
11/14/2020 8:12,"@TokopediaCare hai admin, mohon cek DM dari saya yah. :)"
11/14/2020 8:05,"@TokopediaCare Kalau gua jelasin disini ngabisin tenaga waktu dan pikiran gua aja ,gua ngasih invoice nya ke lu aja… https://t.co/gFqKp2hTRU"
11/14/2020 8:01,@TokopediaCare Tanya aja temen temen lu malas gue nulis panjang plus lebar disini temen lu namanya lia dan eli  dan… https://t.co/DM2Nfx8Kmn
11/14/2020 8:00,@TokopediaCare Gtu dong
11/14/2020 7:52,@TokopediaCare Di pusat resolusi maksimalnya berapa hari kak? Saya butuh waktu tambahan
11/14/2020 7:47,"@TokopediaCare Sya beli barang ori sudah dipastikn dengan sellernya via chat, ternyata tibanya barang palsu / kw. S… https://t.co/Ov9DS80lcS"
11/14/2020 7:41,@TokopediaCare Tolong cek DM min
11/14/2020 7:40,"@TokopediaCare bole dibantu, app tokped saya notifnya ga ada.. jd gatau kalo ada msg atau pesanan."
11/14/2020 7:38,@TokopediaCare min tolong dibantu komplainan belum ada tanggapan dari tokped. Thx
11/14/2020 7:38,"@TokopediaCare INV/20201110/XX/XI/671457646

Apakah bisa menambahkan waktu pesanan yang akan di selesaikan otomatis… https://t.co/WC4677bz1l"
11/14/2020 7:36,@TokopediaCare invoicenya sudah saya dm min
11/14/2020 7:05,"@TokopediaCare Hi min, Saya mau nanya knp tokopedia abg saya orderannya di cancel. Pdhl dia blm pernah bikin akun t… https://t.co/bAZ4Sqgtkj"
11/14/2020 6:59,"@TokopediaCare QJN-6AL48-O8CZ
Mohon dibantu ya mas, soalnya di email slow respon bgt, sedangkan check in jam 2 dan ga ada telpon cs nya"
11/14/2020 6:48,"Halo @TokopediaCare @tokopedia saya tanggal 11 november mengembalikan barang ke seller, barang sudah sampai ke tang… https://t.co/BH0eTsdM3t"
